# Source        Destination             Weight
0                   1                   2.0
0                   7                   5.0
0                   6                   1.0
1                   2                   2.0
1                   2                   3.0
2                   5                   3.0
3                   9                   2.0
3                   4                   1.0
4                   5                   4.0
5                   3                   3.0
7                   8                   3.0
8                   0                   2.0
9                   6                   3.0
